uf,codigo,nome,norma-criacao
AL,AL-1,CBH do Rio Coruripe,Dec. 1.381
AL,AL-2,CBH do Rio Prataji,Res. 04/2004
AL,AL-3,CBH do Rio Piauí,Res. 05/2005
AL,AL-4,CBH do Complexo Estuarino Lagunar Mundaú-Manguaba,Res. 09/2006
AL,AL-5,CBH do Rio São Miguel,Res. 08/2006
AM,AM-1,CBH do Rio Tarumã,Dec. 29.249
BA,BA-1,CBH do Leste,Dec. 9.935/06
BA,BA-10,CBH dos Rios Baianos do Entorno do Lago de Sobradinho,Dec. 11.247
BA,BA-11,"CBH dos Rios Peruípe, Itanhém e Jucuruçu",Dec. 14.243
BA,BA-12,"CBH dos Rios dos Frades, Buranhém e Santo Antônio",Dec. 14.244
BA,BA-13,CBH dos Rios Paramirim e Santo Onofre,Dec. 14.245
BA,BA-14,CBH do Recôncavo Sul,Dec. 15.730
BA,BA-2,CBH do Rio Itapicuru,Dec. 9.937/06
BA,BA-3,CBH do Recôncavo Norte,Dec. 9.936 alterado pelo Dec. 11.204/08
BA,BA-4,CBH do Rio Paraguaçu,Dec. 9.938
BA,BA-5,CBH dos Rios Verde - Jacaré,Dec. 9.939
BA,BA-6,CBH do Rio Salitre,Dec. 10.197
BA,BA-7,CBH do Rio Corrente,Dec. 11.244
BA,BA-8,CBH do Rio de Contas,Dec. 11.245
BA,BA-9,CBH do Rio Grande,Dec. 11.246
CE,CE-1,CBH do Rio Alto Jaguaribe,Dec. 26.603
CE,CE-10,CBH do Litoral,Dec. 28.233
CE,CE-11,CBH Sertões de Crateús,Dec. 31.061
CE,CE-12,CBH da Serra de Ibiapaba,Dec. 31.062
CE,CE-2,CBH do Rio Médio Jaguaribe,Dec. 25.391
CE,CE-3,CBH do Rio Baixo Jaguaribe,Dec. 25.391
CE,CE-4,CBH do Rio Banabuiú,Dec. 26.435
CE,CE-5,CBH do Rio Curu,Lei 11.996
CE,CE-6,CBH do Rio Salgado,Dec. 26.603
CE,CE-7,CBH da Região Metropolitana de Fortaleza,Dec. 26.902
CE,CE-8,CBH do Rio Aracaú,Dec. 27.647
CE,CE-9,CBH do Rio Coreaú,Dec. 28.233
ES,ES-1,CBH das Bacias Hidrográficas Costeiras do Litoral Centro-Norte,Dec. 908-R
ES,ES-10,CBH Pontões e Lagoas do Rio Doce - antigo Rio São José,Dec. 3793_R/2015 altera 2.035-R
ES,ES-11,CBH do Rio São Mateus,Dec. 2.619-R
ES,ES-12,CBH Barra Seca e Foz do Rio Doce,Dec. 3792_R
ES,ES-2,CBH do Rio Itaúnas,Dec. 909-R
ES,ES-3,CBH do Rio Benevente,Dec. 1.206-R
ES,ES-4,CBH do Rio Novo,Dec. 1.350-R
ES,ES-5,CBH do Rio Santa Maria do Doce,Dec. 883-S
ES,ES-6,CBH do Rio Itapemirim,Dec. 1.703-R
ES,ES-7,CBH do Rio Guandu,Dec. 1.901-R
ES,ES-8,CBH Jucu,Dec. 1.935-R
ES,ES-9,CBH Santa Maria da Vitória,Dec. 1.934-R
MA,MA-1,CBH do Rio Munim,Lei 9.956
MA,MA-2,CBH do Rio Mearim,Lei 9.957
MG,MG-1,CBH do Rio das Velhas,Dec. 39.692
MG,MG-10,CBH dos Rios Jaguari/Piracicaba (SP),Dec. 44.433
MG,MG-11,CBH do Rio Pará,Dec. 39.913
MG,MG-12,CBH do Rio Mosquito,Dec. 39.736
MG,MG-13,CBH Mineira do Rio Paracatu,Dec. 40.014
MG,MG-14,CBH do Rio Verde,Dec. 39.910
MG,MG-15,CBH do Entorno do Lago de Furnas,Dec. 42.596
MG,MG-16,CBH do Rio Caratinga,Dec. 40.591
MG,MG-17,CBH dos Afluentes do Alto São Francisco,Dec. 43.711
