codigo,jurisdicao,abreviacao,nome_completo,nome_alternativo,norma_criacao
BR-01,br,CBHGBR,CBH do Rio Grande,,
BR-02,br,CBHPS-CEIVAP,CBH do Rio Paraíba do Sul - Ceivap,,
BR-03,br,CBHPB,CBH do Rio Paranaíba,,
BR-04,br,CBH-PCJ,"CBH dos Rios Piracicaba, Capivari e Jundiaí - PCJ FEDERAL",,
BR-05,br,CBHPA,CBH do Rio Piranhas-Açu,,
BR-06,br,CBHSF,CBH do Rio São Francisco,,
BR-07,br,CBHVG,CBH do Rio Verde Grande,,
BR-08,br,CBH DOCE,CBH do Rio Doce,,
BR-09,br,CBHPP,CBH do Rio Paranapanema,,
AL-01,br;al,CBHCO,CBH do Rio Coruripe,,Dec. 1.381
AL-02,br;al,CBHCELMM,CBH do Complexo Estuarino Lagunar Mundaú Manguaba,CBH do Rio Prataji,Res. 04/2004
AL-03,br;al,CBH-PI,CBH Piauí,CBH do Rio Piauí,Res. 05/2005
AL-04,br;al,CBHPG,Comitê da Região Hidrográfica do Pratagy,CBH do Complexo Estuarino Lagunar Mundaú-Manguaba,Res. 09/2006
AL-05,br;al,CBHSF-AL,CBH do Rio São Francisco,CBH do Rio São Miguel,Res. 08/2006
AL-06,br;al,CBHSM,CBH São Miguel,,
AM-01,br;am,CBHP,CBH do Rio Puraquequara,CBH do Rio Tarumã,Dec. 29.249
AM-02,br;am,CBH TAPAZONAS,CBH Tapazonas Tapajós+Amazonas,,
AM-03,br;am,CBH TARUMÃ-AÇU,CBH do Rio Tarumã-Açu,,
BA-01,br;ba,CBHRC,CBH do Rio das Contas,CBH do Leste,Dec. 9.935/06
BA-02,br;ba,CBHCR,CBH do Rio Corrente,CBH do Rio Itapicuru,Dec. 9.937/06
BA-03,br;ba,CBHFBSA,"CBH dos Rios FRADE, BURANHÉM E SANTO ANTÔNIO",CBH do Recôncavo Norte,Dec. 9.936 alterado pelo Dec. 11.204/08
BA-04,br;ba,CBHG,CBH do Rio Grande,CBH do Rio Paraguaçu,Dec. 9.938
BA-05,br;ba,CBHITA,CBH do Itapicuru,CBH dos Rios Verde - Jacaré,Dec. 9.939
BA-06,br;ba,CBHL,CBH do Leste,CBH do Rio Salitre,Dec. 10.197
BA-07,br;ba,CBHPG,CBH do Rio Paraguaçú,CBH do Rio Corrente,Dec. 11.244
BA-08,br;ba,CBHPSO,CBH dos Rios Paramirim e Santo Onofre,CBH do Rio de Contas,Dec. 11.245
BA-09,br;ba,CBHPITAJU,"CBH dos Rios Peruípe, Itanhém e Jucuruçu",CBH do Rio Grande,Dec. 11.246
BA-10,br;ba,CBHRS,CBH do Recôncavo Sul,CBH dos Rios Baianos do Entorno do Lago de Sobradinho,Dec. 11.247
BA-11,br;ba,CBHRNI,CBH do Recôncavo Norte e Inhambupe,"CBH dos Rios Peruípe, Itanhém e Jucuruçu",Dec. 14.243
BA-12,br;ba,CBHSL,CBH dos Rios Salitre,"CBH dos Rios dos Frades, Buranhém e Santo Antônio",Dec. 14.244
BA-13,br;ba,CBHLSB,CBH do Entorno do Lago do Sobradinho,CBH dos Rios Paramirim e Santo Onofre,Dec. 14.245
BA-14,br;ba,CBHVJ,CBH dos Rios Verde e Jacaré,CBH do Recôncavo Sul,Dec. 15.730
BA-15,br;ba,CBHCNI,CBH do Centro Norte e Inhambupe,,
CE-01,br;ce,CBHAC,CBH do Acaraú,CBH do Rio Alto Jaguaribe,Dec. 26.603
