codigo,sigla,nome_completo
BR-01,CBHGBR,CBH do Rio Grande
BR-02,CBHPS-CEIVAP,CBH do Rio Paraíba do Sul - Ceivap
BR-03,CBHPB,CBH do Rio Paranaíba
BR-04,CBH-PCJ,"CBH dos Rios Piracicaba, Capivari e Jundiaí - PCJ FEDERAL"
BR-05,CBHPA,CBH do Rio Piranhas-Açu
BR-06,CBHSF,CBH do Rio São Francisco
BR-07,CBHVG,CBH do Rio Verde Grande
BR-08,CBH DOCE,CBH do Rio Doce
BR-09,CBHPP,CBH do Rio Paranapanema
AL-01,CBHCO,CBH do Rio Coruripe
AL-02,CBHCELMM,CBH do Complexo Estuarino Lagunar Mundaú Manguaba
AL-03,CBH-PI,CBH Piauí
AL-04,CBHPG,Comitê da Região Hidrográfica do Pratagy
AL-05,CBHSF-AL,CBH do Rio São Francisco
AL-06,CBHSM,CBH São Miguel
AM-01,CBHP,CBH do Rio Puraquequara
AM-02,CBH TAPAZONAS,CBH Tapazonas Tapajós+Amazonas
AM-03,CBH TARUMÃ-AÇU,CBH do Rio Tarumã-Açu
BA-01,CBHRC,CBH do Rio das Contas
BA-02,CBHCR,CBH do Rio Corrente
BA-03,CBHFBSA,"CBH dos Rios FRADE, BURANHÉM E SANTO ANTÔNIO"
BA-04,CBHG,CBH do Rio Grande
BA-05,CBHITA,CBH do Itapicuru
BA-06,CBHL,CBH do Leste
BA-07,CBHPG,CBH do Rio Paraguaçú
BA-08,CBHPSO,CBH dos Rios Paramirim e Santo Onofre
BA-09,CBHPITAJU,"CBH dos Rios Peruípe, Itanhém e Jucuruçu"
BA-10,CBHRS,CBH do Recôncavo Sul
BA-11,CBHRNI,CBH do Recôncavo Norte e Inhambupe
BA-12,CBHSL,CBH dos Rios Salitre
BA-13,CBHLSB,CBH do Entorno do Lago do Sobradinho
BA-14,CBHVJ,CBH dos Rios Verde e Jacaré
BA-15,CBHCNI,CBH do Centro Norte e Inhambupe
CE-01,CBHAC,CBH do Acaraú
CE-02,CBHAJ,CBH do Alto Jaguaribe
CE-03,CBHBJ,CBH do Baixo Jaguaribe
CE-04,CBHBN,CBH do Banabuiú
CE-05,CBHCO,CBH do Coreaú
CE-06,CBHCR,CBH do Curu
CE-07,CBHSIB,CBH da Serra da Ibiapaba
CE-08,CBHLIT,CBH do Litoral
CE-09,CBHMJ,CBH do Médio Jaguaribe
CE-10,CBHMT,CBH das Metropolitanas
CE-11,CBHSG,CBH do Salgado
DF-01,CBHRP,CBH do Rio Paranoá
DF-02,CBH/AP,CBH dos Afluentes do Rio Preto
DF-03,CBH/AM,CBH dos Afluentes do Rio Maranhão
ES-01,CBHLCN,CBH do Litoral Centro Norte
ES-02,CBHBV,CBH do Rio Benevente
ES-03,CBHGUA,CBH do Rio Guandu
ES-04,CBHITA,CBH do Rio Itapemirim
ES-05,CBHITA,CBH do Rio Itaúnas
ES-06,CBHRJC,CBH do Rio Jucu
ES-07,CBHNV,CBH do Rio Novo
ES-08,CBHRSMV,CBH do Rio Santa Maria da Vitória
ES-09,CBHRSMD,CBH do Rio Santa Maria do Doce
ES-10,CBHRSJ,CBH SANTA JOANA
ES-11,CBHRSM,CBH do Rio São Mateus
ES-12,CBHITAB,CBH Itabapoana
ES-13,CBH-BSFRD,Comitê da Bacia do Barra Seca e Foz do Rio Doce
ES-14,CBHPLRD,CBH Pontões e Lagoas do Rio Doce
GO-01,CBHBOIS,CBH do Rio dos Bois - CBH Bois
GO-02,CBH CORUMBÁ VERÍSSIMO,"CBH dos Rios Corumbá, Veríssimo e porção goiana do Rio São Marcos"
GO-03,CBHRMP,CBH do Rio Meia Ponte
GO-04,CBHAGBP,CBH dos Afluentes Goianos do Baixo Paranaíba
GO-05,CBH Vermelho,CBH do Rio Vermelho
MA-01,CBHRM,CBH do Rio Mearim
MA-02,CBHMUNIM,CBH do Rio Munim
MG-01,CBH ARAGUARI,CBH do Rio Araguari
MG-02,CBHERF,CBH do Entorno do Reservatório de Furnas
MG-03,CBHVRG,CBH Vertentes do Rio Grande
MG-04,GD-8,CBH dos Afluentes Mineiros do Baixo Rio Grande
